win,lose,probability
New Orleans Pelicans,Minnesota Timberwolves,0.53563605769188738
Orlando Magic,Phoenix Suns,0.7570329649081069
Memphis Grizzlies,Philadelphia 76ers,0.7700483293638557
Oklahoma City Thunder,Sacramento Kings,0.81183440573495069
Utah Jazz,Denver Nuggets,0.73195372650617285
San Antonio Spurs,Boston Celtics,0.71038711844149505
Cleveland Cavaliers,Dallas Mavericks,0.84976874074156461
Oklahoma City Thunder,Denver Nuggets,0.83372037020695533
Los Angeles Clippers,Detroit Pistons,0.5813440096603002
Indiana Pacers,Brooklyn Nets,0.87950100239219342
Golden State Warriors,Los Angeles Lakers,0.94929779166491002
Miami Heat,Memphis Grizzlies,0.63208252819275879
Toronto Raptors,Milwaukee Bucks,0.78549424383451216
Charlotte Hornets,New York Knicks,0.68227165835499348
Washington Wizards,Orlando Magic,0.52504415342622679
Chicago Bulls,Philadelphia 76ers,0.81473136912191757
Minnesota Timberwolves,Phoenix Suns,0.54642452847519529
Portland Trail Blazers,New Orleans Pelicans,0.88771773023325229
Houston Rockets,Sacramento Kings,0.56434418152359289
Atlanta Hawks,Utah Jazz,0.52203155142145619
Charlotte Hornets,New York Knicks,0.82078876328880335
Golden State Warriors,Minnesota Timberwolves,0.93132911434283849
Miami Heat,Memphis Grizzlies,0.7725830279908471
Oklahoma City Thunder,Detroit Pistons,0.79061366244479447
San Antonio Spurs,Washington Wizards,0.79080572457345832
Sacramento Kings,Brooklyn Nets,0.63542748599096599
Dallas Mavericks,New Orleans Pelicans,0.76919154331874329
Los Angeles Clippers,Indiana Pacers,0.53617782726621566
Atlanta Hawks,Los Angeles Lakers,0.82471254489007684
Orlando Magic,Milwaukee Bucks,0.64730398599753947
Cleveland Cavaliers,Philadelphia 76ers,0.95300739641997123
Denver Nuggets,Phoenix Suns,0.54821711291698993
Portland Trail Blazers,Houston Rockets,0.77065194058578756
Golden State Warriors,Atlanta Hawks,0.81866239602409596
Charlotte Hornets,Memphis Grizzlies,0.63783540618830015
Miami Heat,Boston Celtics,0.57811031505714927
Utah Jazz,Minnesota Timberwolves,0.59167204331844814
Oklahoma City Thunder,New York Knicks,0.82238257656845248
Toronto Raptors,Philadelphia 76ers,0.96324822019283995
Washington Wizards,Sacramento Kings,0.69981724328674011
Los Angeles Clippers,Brooklyn Nets,0.85530802978985765
Charlotte Hornets,Detroit Pistons,0.65283110480809647
Cleveland Cavaliers,Milwaukee Bucks,0.86023441663367839
New Orleans Pelicans,Los Angeles Lakers,0.76744941695841384
San Antonio Spurs,Orlando Magic,0.89654775199753212
Utah Jazz,Houston Rockets,0.59424528704730784
Boston Celtics,Detroit Pistons,0.65279605696712495
Chicago Bulls,Los Angeles Lakers,0.87764412973263384
San Antonio Spurs,Dallas Mavericks,0.77374718208163396
Miami Heat,Denver Nuggets,0.69403769986530772
Minnesota Timberwolves,New York Knicks,0.60301572888027355
Oklahoma City Thunder,Washington Wizards,0.80531966021182055
Atlanta Hawks,Phoenix Suns,0.7835051116228875
Portland Trail Blazers,Indiana Pacers,0.71903796984772383
Toronto Raptors,Memphis Grizzlies,0.83422727099130856
Milwaukee Bucks,Brooklyn Nets,0.59975632142523294
Charlotte Hornets,Dallas Mavericks,0.68596390343446489
Cleveland Cavaliers,Los Angeles Clippers,0.73288229991347187
Golden State Warriors,Houston Rockets,0.878365049874264
Memphis Grizzlies,Orlando Magic,0.58680569247157555
Miami Heat,Utah Jazz,0.50711353579642138
Atlanta Hawks,Detroit Pistons,0.64313490229704084
Boston Celtics,Sacramento Kings,0.78227129431635889
Cleveland Cavaliers,Chicago Bulls,0.73796573697732204
Houston Rockets,Denver Nuggets,0.60086365565407629
Los Angeles Clippers,New Orleans Pelicans,0.75217211246568105
New York Knicks,Minnesota Timberwolves,0.57464733245284683
Orlando Magic,Philadelphia 76ers,0.76912785658612015
San Antonio Spurs,Washington Wizards,0.84808643504940906
Toronto Raptors,Los Angeles Lakers,0.94377728465966237
Charlotte Hornets,Minnesota Timberwolves,0.78765391706370569
Dallas Mavericks,Chicago Bulls,0.6346897451245942
Golden State Warriors,Phoenix Suns,0.96288620801890834
Memphis Grizzlies,Los Angeles Lakers,0.82495215363356411
Milwaukee Bucks,Brooklyn Nets,0.73438268860015465
Boston Celtics,Philadelphia 76ers,0.89249826195298321
Portland Trail Blazers,Miami Heat,0.69040142315792741
Toronto Raptors,Atlanta Hawks,0.66137209820000686
Utah Jazz,Denver Nuggets,0.73195372650617285
Detroit Pistons,Orlando Magic,0.68490632332596291
Los Angeles Clippers,Indiana Pacers,0.6535478305043374
New York Knicks,Sacramento Kings,0.56687265905606454
Oklahoma City Thunder,New Orleans Pelicans,0.90320507163500163
Oklahoma City Thunder,Atlanta Hawks,0.63762729047682176
Washington Wizards,Brooklyn Nets,0.75248686444077451
